id,rut_personal,id_hora,rut_paciente,fecha_hora,monto,estado,mediopago,bono,boleta,vaucher
812,22767738-4,3195,85033698-2,2025-04-07 17:15:00,2820245,0,0,0,0,0
813,86209409-0,1895,92670172-1,2025-04-24 16:30:00,3238968,0,0,0,0,0
814,94023614-4,753,53407302-6,2025-04-06 13:45:00,3092497,0,0,0,0,0
815,95208514-3,1429,45846060-8,2025-04-15 17:45:00,2105020,0,0,0,0,0
816,22767738-4,2639,99550289-1,2025-04-01 18:45:00,3010000,1,3,0,204,0
817,95208514-3,3202,59604556-2,2025-04-09 16:30:00,3081058,0,0,0,0,0
818,86209409-0,580,60334032-8,2025-04-15 08:45:00,2105020,1,2,0,205,95
819,57378727-6,485,67384344-0,2025-04-30 18:45:00,3092497,0,0,0,0,0
820,95208514-3,1797,22212788-6,2025-04-04 18:15:00,2800365,0,0,0,0,0
821,86209409-0,985,49291952-0,2025-04-27 16:30:00,3081058,0,0,0,0,0
822,94023614-4,480,99352036-1,2025-04-17 09:30:00,2506300,0,0,0,0,0
823,73177104-4,2120,25422399-6,2025-04-12 12:30:00,2800365,0,0,0,0,0
824,94023614-4,3484,81164868-4,2025-04-22 12:00:00,50500,1,4,0,206,0
825,95208514-3,1432,12031991-9,2025-04-02 12:15:00,1800999,0,0,0,0,0
826,73177104-4,236,23124705-7,2025-04-06 11:15:00,1600123,0,0,0,0,0
827,57378727-6,1277,29962868-0,2025-04-30 08:45:00,2820245,0,0,0,0,0
828,94023614-4,16,66594934-8,2025-04-14 14:30:00,3010000,0,0,0,0,0
829,94023614-4,961,95595189-5,2025-04-15 16:45:00,3238968,1,1,0,207,96
830,86209409-0,659,55223444-3,2025-04-09 15:15:00,2132690,1,2,0,208,97
831,94023614-4,585,91096368-2,2025-04-11 08:30:00,50500,0,0,0,0,0
832,73177104-4,3458,78678453-4,2025-04-05 11:00:00,50500,0,0,0,0,0
833,94023614-4,2202,45623694-9,2025-04-24 12:45:00,1750012,0,0,0,0,0
834,73177104-4,2451,22212788-6,2025-04-27 18:00:00,50500,0,0,0,0,0
835,94023614-4,626,48863238-8,2025-04-21 14:00:00,2820245,1,2,0,209,98
836,57378727-6,1589,55643376-9,2025-04-15 13:30:00,3010000,0,0,0,0,0
837,57378727-6,1110,22519178-2,2025-04-21 09:00:00,1750012,0,0,0,0,0
838,22767738-4,1296,90160627-1,2025-04-19 09:00:00,3120345,0,0,0,0,0
839,86209409-0,2866,45955017-8,2025-04-21 18:45:00,2820245,0,0,0,0,0
840,94023614-4,3182,81768570-2,2025-04-27 10:30:00,3092497,0,0,0,0,0
841,73177104-4,326,49873347-8,2025-04-05 09:15:00,2727431,0,0,0,0,0
842,73177104-4,2210,53375085-5,2025-04-14 13:45:00,1600123,0,0,0,0,0
843,94023614-4,3069,85033698-2,2025-04-08 13:15:00,2132690,0,0,0,0,0
844,95208514-3,1912,81164868-4,2025-04-15 09:45:00,1750012,0,0,0,0,0
845,57378727-6,3405,55643376-9,2025-04-14 09:45:00,3120345,0,0,0,0,0
846,57378727-6,2531,38867100-7,2025-04-19 11:15:00,2727431,0,0,0,0,0
847,57378727-6,1625,22519178-2,2025-04-23 14:30:00,2086651,0,0,0,0,0
848,95208514-3,3312,24595395-3,2025-04-27 18:45:00,3081058,0,0,0,0,0
849,86209409-0,1028,56565081-1,2025-04-27 10:30:00,2727431,1,2,0,210,99
850,73177104-4,1431,33469812-2,2025-04-29 15:30:00,2086651,0,0,0,0,0
851,57378727-6,1706,66594934-8,2025-04-01 12:15:00,1750012,0,0,0,0,0
852,86209409-0,340,51263568-1,2025-04-14 08:45:00,1800999,1,3,0,211,0
853,57378727-6,1989,72424451-8,2025-04-23 18:15:00,2800365,0,0,0,0,0
854,73177104-4,85,72424451-8,2025-04-03 14:15:00,1600123,0,0,0,0,0
855,95208514-3,2176,51263568-1,2025-04-29 16:15:00,3081058,1,2,0,212,100
856,73177104-4,1143,90942860-9,2025-04-09 18:00:00,2086651,0,0,0,0,0
857,22767738-4,3557,49771636-9,2025-04-16 10:00:00,2800365,0,0,0,0,0
858,94023614-4,2993,70414825-8,2025-04-04 18:15:00,3081058,0,0,0,0,0
859,22767738-4,2947,48863238-8,2025-04-12 10:15:00,2727431,0,0,0,0,0
860,86209409-0,3015,23124705-7,2025-04-29 15:45:00,1600123,0,0,0,0,0
861,94023614-4,1170,69482795-6,2025-04-26 15:45:00,3120345,0,0,0,0,0
862,94023614-4,635,81768570-2,2025-04-22 12:15:00,2506300,0,0,0,0,0
863,94023614-4,880,13560469-0,2025-04-19 11:45:00,2727431,1,4,0,213,0
864,95208514-3,943,85033698-2,2025-04-29 18:00:00,1800999,0,0,0,0,0
865,73177104-4,2020,97980836-2,2025-04-09 13:45:00,3120345,0,0,0,0,0
866,94023614-4,1195,78093216-6,2025-04-20 14:30:00,2132690,0,0,0,0,0
867,94023614-4,3104,17973044-7,2025-04-17 18:45:00,2132690,1,2,0,214,101
868,57378727-6,1398,87751822-9,2025-04-06 14:15:00,2800365,0,0,0,0,0
869,94023614-4,2763,65660643-5,2025-04-27 15:00:00,3081058,0,0,0,0,0
870,73177104-4,3248,68316971-1,2025-04-11 15:45:00,2727431,0,0,0,0,0
871,94023614-4,964,67552699-5,2025-04-25 17:15:00,2086651,0,0,0,0,0
872,86209409-0,2654,41515034-6,2025-04-06 15:15:00,3092497,1,1,0,215,102
873,57378727-6,2615,94152364-3,2025-03-31 17:00:00,2820245,0,0,0,0,0
874,86209409-0,2640,66747669-9,2025-04-19 12:30:00,2800365,0,0,0,0,0
875,57378727-6,1319,96253618-2,2025-04-08 12:45:00,3010000,0,0,0,0,0
876,57378727-6,1682,58074747-6,2025-04-28 14:00:00,3092497,0,0,0,0,0
877,22767738-4,3402,99352036-1,2025-04-08 10:45:00,2820245,0,0,0,0,0
878,57378727-6,1601,36809677-6,2025-04-14 13:30:00,2800365,0,0,0,0,0
879,95208514-3,716,48411300-7,2025-04-06 15:45:00,2820245,0,0,0,0,0
880,95208514-3,3609,60334032-8,2025-04-16 15:00:00,2105020,1,4,0,216,0
881,94023614-4,1805,90206203-1,2025-04-16 13:30:00,2086651,0,0,0,0,0
882,22767738-4,829,61617949-1,2025-04-14 13:15:00,2820245,0,0,0,0,0
883,86209409-0,3387,46930558-3,2025-04-28 11:00:00,2132690,0,0,0,0,0
884,57378727-6,1094,40484874-8,2025-04-12 14:45:00,2506300,0,0,0,0,0
885,57378727-6,2599,50672725-4,2025-05-03 14:30:00,2800365,0,0,0,0,0
886,86209409-0,390,49261253-8,2025-04-18 15:00:00,2132690,0,0,0,0,0
887,94023614-4,1770,61617949-1,2025-04-21 09:15:00,1800999,0,0,0,0,0
888,22767738-4,233,87997004-2,2025-04-10 12:30:00,3238968,0,0,0,0,0
889,94023614-4,3636,21774192-3,2025-04-25 15:30:00,3010000,0,0,0,0,0
890,57378727-6,1382,30310762-2,2025-04-23 14:30:00,3010000,1,3,0,217,0
891,22767738-4,1500,69145853-7,2025-04-19 13:15:00,3010000,1,4,0,218,0
892,95208514-3,665,22212788-6,2025-04-06 08:00:00,2800365,1,4,0,219,0
893,94023614-4,2835,74402817-6,2025-04-04 12:00:00,3238968,1,2,0,220,103
894,94023614-4,1778,90160627-1,2025-04-14 14:00:00,2105020,0,0,0,0,0
895,94023614-4,1211,25811298-1,2025-04-06 10:00:00,2506300,0,0,0,0,0
896,86209409-0,1208,69145853-7,2025-04-09 08:45:00,3081058,0,0,0,0,0
897,57378727-6,2878,40521119-8,2025-04-08 15:00:00,3010000,0,0,0,0,0
898,57378727-6,3261,53407302-6,2025-04-10 14:00:00,2086651,1,1,0,221,104
899,86209409-0,5,31462078-5,2025-04-18 11:00:00,2727431,1,4,0,222,0
900,95208514-3,456,13560469-0,2025-04-13 11:30:00,2727431,1,3,0,223,0
901,86209409-0,3103,75833080-6,2025-04-20 15:00:00,2132690,0,0,0,0,0
902,95208514-3,3529,61864673-3,2025-04-27 17:30:00,2086651,0,0,0,0,0
903,73177104-4,765,20272755-6,2025-04-06 09:45:00,2132690,1,3,0,224,0
904,22767738-4,782,90160627-1,2025-04-28 12:45:00,2086651,0,0,0,0,0
905,73177104-4,493,84295710-6,2025-04-01 18:15:00,3010000,0,0,0,0,0
906,57378727-6,2290,72222830-6,2025-04-03 17:30:00,2132690,1,1,0,225,105
907,22767738-4,3096,48411300-7,2025-04-29 18:15:00,1750012,0,0,0,0,0
908,73177104-4,499,56640243-9,2025-04-29 10:00:00,3010000,0,0,0,0,0
909,22767738-4,3284,94761985-0,2025-04-14 11:30:00,2820245,0,0,0,0,0
910,73177104-4,3438,11592484-9,2025-04-13 09:00:00,1800999,0,0,0,0,0
911,22767738-4,1067,59765653-7,2025-04-07 13:15:00,3120345,1,1,0,226,106
912,22767738-4,1827,99352036-1,2025-04-18 14:30:00,1750012,1,4,0,227,0
913,86209409-0,36,48263743-9,2025-04-22 16:15:00,50500,0,0,0,0,0
914,86209409-0,2926,27075358-5,2025-04-22 18:45:00,2820245,0,0,0,0,0
915,73177104-4,2089,10615206-0,2025-04-02 17:45:00,3238968,0,0,0,0,0
916,86209409-0,500,41515034-6,2025-04-14 10:45:00,3081058,0,0,0,0,0
917,22767738-4,1179,23124705-7,2025-04-08 10:15:00,2727431,0,0,0,0,0
918,57378727-6,2325,91766615-6,2025-04-24 10:15:00,1750012,0,0,0,0,0
919,94023614-4,3614,31462078-5,2025-04-18 12:45:00,2105020,1,3,0,228,0
920,73177104-4,901,36809677-6,2025-04-24 15:30:00,3092497,0,0,0,0,0
921,94023614-4,510,22769853-9,2025-04-17 18:15:00,2506300,1,3,0,229,0
922,22767738-4,1705,19805123-3,2025-04-04 08:30:00,1750012,0,0,0,0,0
923,86209409-0,1698,64744316-9,2025-04-06 17:15:00,1600123,0,0,0,0,0
924,86209409-0,1049,96253618-2,2025-04-03 09:15:00,3081058,1,2,0,230,107
925,22767738-4,986,37640277-4,2025-04-30 10:45:00,1800999,0,0,0,0,0
926,57378727-6,2826,53407302-6,2025-04-24 09:30:00,2105020,0,0,0,0,0
927,57378727-6,2206,44480804-6,2025-04-22 08:30:00,3120345,1,4,0,231,0
928,22767738-4,2393,36428633-7,2025-04-07 16:00:00,2132690,0,0,0,0,0
929,22767738-4,2421,49190437-8,2025-04-04 15:30:00,1600123,0,0,0,0,0
930,57378727-6,1356,19805123-3,2025-04-28 13:30:00,2105020,0,0,0,0,0
931,95208514-3,1396,42856973-7,2025-04-21 15:00:00,1800999,0,0,0,0,0
932,86209409-0,539,51263568-1,2025-04-04 16:45:00,2727431,0,0,0,0,0
933,86209409-0,936,50692374-0,2025-04-05 11:45:00,1800999,0,0,0,0,0
934,94023614-4,2697,11981843-5,2025-04-07 09:30:00,3238968,0,0,0,0,0
935,73177104-4,2198,88755903-1,2025-04-20 15:45:00,1750012,0,0,0,0,0
936,86209409-0,1378,63952204-2,2025-04-12 17:00:00,50500,0,0,0,0,0
937,22767738-4,2567,26529183-7,2025-04-18 14:00:00,3238968,0,0,0,0,0
938,94023614-4,1838,51992140-2,2025-04-27 15:00:00,2132690,0,0,0,0,0
939,73177104-4,896,19805123-3,2025-05-02 10:15:00,2086651,0,0,0,0,0
940,73177104-4,400,87751822-9,2025-04-21 16:00:00,3010000,0,0,0,0,0
941,22767738-4,1403,56809478-6,2025-04-29 14:00:00,1800999,0,0,0,0,0
942,86209409-0,3168,11852079-8,2025-04-05 13:30:00,1800999,1,4,0,232,0
943,57378727-6,1833,33469812-2,2025-04-08 16:15:00,1750012,1,2,0,233,108
944,95208514-3,1597,93738834-2,2025-04-26 13:00:00,50500,0,0,0,0,0
945,22767738-4,2963,61864673-3,2025-04-18 13:45:00,3081058,1,1,0,234,109
946,94023614-4,2349,45152877-6,2025-04-09 08:45:00,1800999,0,0,0,0,0
947,57378727-6,437,98967597-1,2025-04-20 12:15:00,1600123,0,0,0,0,0
948,95208514-3,1969,49197992-8,2025-04-29 17:45:00,2727431,0,0,0,0,0
949,95208514-3,2674,33469812-2,2025-04-25 10:15:00,2132690,0,0,0,0,0
950,22767738-4,2580,86853828-8,2025-04-04 12:30:00,2506300,0,0,0,0,0
951,22767738-4,1520,44480804-6,2025-04-24 11:15:00,1600123,0,0,0,0,0
952,86209409-0,573,11592484-9,2025-04-16 08:30:00,2506300,0,0,0,0,0
953,94023614-4,3277,29962868-0,2025-04-27 12:45:00,2086651,1,3,0,235,0
954,94023614-4,1548,55223444-3,2025-04-07 09:30:00,3010000,0,0,0,0,0
955,94023614-4,1950,20272755-6,2025-04-08 10:30:00,2132690,0,0,0,0,0
956,95208514-3,678,66264861-2,2025-04-30 13:00:00,1800999,0,0,0,0,0
957,95208514-3,2950,86190085-8,2025-04-23 16:15:00,2086651,1,2,0,236,110
958,94023614-4,2583,53337367-3,2025-04-30 18:15:00,2820245,0,0,0,0,0
959,95208514-3,1854,57891601-9,2025-04-06 12:15:00,2727431,0,0,0,0,0
960,94023614-4,1063,69482795-6,2025-04-04 18:15:00,2086651,0,0,0,0,0
961,94023614-4,1932,26529183-7,2025-04-11 08:45:00,3092497,1,4,0,237,0
962,73177104-4,3042,21398093-5,2025-04-12 15:30:00,3238968,0,0,0,0,0
963,95208514-3,1055,45475720-7,2025-04-23 10:30:00,3120345,1,3,0,238,0
964,95208514-3,3547,55539940-3,2025-04-27 12:30:00,2727431,0,0,0,0,0
965,95208514-3,3533,45623694-9,2025-04-06 11:15:00,1800999,1,3,0,239,0
966,86209409-0,382,78785402-2,2025-05-03 16:45:00,3092497,0,0,0,0,0
967,57378727-6,2342,52872009-7,2025-04-15 12:00:00,3238968,0,0,0,0,0
968,57378727-6,2348,65999494-0,2025-04-24 17:30:00,35000,0,0,0,0,0
969,22767738-4,1499,76332098-2,2025-04-27 08:45:00,2800365,1,2,0,240,111
970,57378727-6,2907,91096368-2,2025-05-02 08:45:00,1750012,0,0,0,0,0
971,95208514-3,2948,33791677-0,2025-04-03 08:45:00,2105020,1,2,0,241,112
972,95208514-3,1069,53337367-3,2025-04-29 15:15:00,2132690,0,0,0,0,0
973,86209409-0,1836,29962868-0,2025-04-10 16:30:00,1800999,0,0,0,0,0
974,86209409-0,1672,19015534-8,2025-04-04 10:30:00,2132690,0,0,0,0,0
975,22767738-4,2632,37602034-5,2025-04-22 12:00:00,2086651,0,0,0,0,0
976,73177104-4,3084,95010809-6,2025-04-18 15:15:00,3081058,0,0,0,0,0
977,95208514-3,3372,38324156-4,2025-04-24 15:15:00,2800365,0,0,0,0,0
978,57378727-6,3156,60593511-0,2025-04-28 12:30:00,2506300,0,0,0,0,0
979,95208514-3,3624,50066254-1,2025-04-20 15:30:00,1600123,0,0,0,0,0
980,94023614-4,3395,41416859-6,2025-04-03 12:45:00,3081058,0,0,0,0,0
981,94023614-4,2776,46930558-3,2025-04-06 10:45:00,3010000,0,0,0,0,0
982,94023614-4,2559,60775663-1,2025-04-10 16:15:00,2727431,0,0,0,0,0
983,95208514-3,3656,85033698-2,2025-04-06 08:45:00,1800999,0,0,0,0,0
984,86209409-0,1097,86190085-8,2025-04-12 16:45:00,1750012,0,0,0,0,0
985,94023614-4,512,60775663-1,2025-04-28 14:45:00,3081058,0,0,0,0,0
986,22767738-4,3092,56640243-9,2025-04-27 14:30:00,3010000,0,0,0,0,0
987,22767738-4,1478,69145853-7,2025-04-13 17:30:00,3120345,1,1,0,242,113
988,86209409-0,91,78803927-1,2025-04-30 15:15:00,2820245,0,0,0,0,0
989,94023614-4,1411,97980836-2,2025-04-14 10:30:00,3092497,0,0,0,0,0
990,22767738-4,2434,89765444-6,2025-04-23 13:15:00,2506300,1,2,0,243,114
991,86209409-0,538,15347792-3,2025-04-23 08:00:00,1750012,0,0,0,0,0
992,86209409-0,1284,90889318-2,2025-04-11 16:00:00,2800365,0,0,0,0,0
993,57378727-6,2983,25422399-6,2025-04-28 08:00:00,3092497,0,0,0,0,0
994,73177104-4,2961,42856973-7,2025-04-05 14:00:00,2086651,0,0,0,0,0
995,57378727-6,119,33424109-6,2025-04-29 08:00:00,1800999,0,0,0,0,0
996,73177104-4,606,29962868-0,2025-04-30 16:45:00,2132690,1,3,0,244,0
997,22767738-4,275,16625683-2,2025-04-04 12:30:00,3120345,0,0,0,0,0
998,73177104-4,3048,25939458-6,2025-04-09 14:45:00,3010000,1,2,0,245,115
999,57378727-6,3120,62903851-4,2025-04-11 14:00:00,3010000,0,0,0,0,0
1000,95208514-3,3632,16226259-9,2025-04-24 16:45:00,2727431,0,0,0,0,0
1001,95208514-3,593,79159576-1,2025-04-26 10:30:00,2086651,0,0,0,0,0
1002,22767738-4,2719,67384344-0,2025-04-23 17:15:00,3010000,0,0,0,0,0
1003,94023614-4,367,74402817-6,2025-04-28 09:30:00,3092497,0,0,0,0,0
1004,94023614-4,312,33469812-2,2025-04-28 10:00:00,2506300,1,4,0,246,0
1005,94023614-4,3328,78093216-6,2025-04-23 10:15:00,2086651,0,0,0,0,0
1006,73177104-4,691,48115949-8,2025-05-03 17:15:00,2086651,0,0,0,0,0
1007,57378727-6,2986,84295710-6,2025-04-05 12:00:00,3010000,0,0,0,0,0
1008,86209409-0,2021,99352036-1,2025-04-05 18:00:00,3010000,0,0,0,0,0
1009,57378727-6,2684,40521119-8,2025-04-28 10:45:00,3010000,0,0,0,0,0
1010,22767738-4,2493,23572980-4,2025-04-03 12:30:00,1750012,0,0,0,0,0
1011,73177104-4,1739,86332222-2,2025-04-01 12:45:00,1750012,1,1,0,247,116
1012,57378727-6,3399,79159576-1,2025-04-06 16:30:00,3120345,0,0,0,0,0
1013,22767738-4,779,14540200-5,2025-04-26 10:30:00,3120345,0,0,0,0,0
1014,22767738-4,2939,49873347-8,2025-04-15 16:30:00,35000,1,1,0,0,117
1015,94023614-4,3392,32043482-6,2025-04-15 09:00:00,3238968,0,0,0,0,0
1016,73177104-4,3221,70812597-6,2025-04-09 15:45:00,1800999,0,0,0,0,0
1017,95208514-3,3658,32043482-6,2025-04-08 17:15:00,2820245,0,0,0,0,0
1018,57378727-6,2814,56809478-6,2025-04-18 18:00:00,1800999,1,2,0,248,118
1019,86209409-0,1019,68234030-5,2025-04-28 13:45:00,2105020,1,3,0,249,0
1020,94023614-4,2468,23124705-7,2025-04-09 18:15:00,2800365,0,0,0,0,0
1021,86209409-0,38,91096368-2,2025-05-02 09:00:00,2727431,1,3,0,250,0
1022,73177104-4,1030,45152877-6,2025-04-26 12:00:00,2820245,1,3,0,251,0
1023,73177104-4,1172,81778485-8,2025-04-25 09:15:00,2800365,0,0,0,0,0
1024,22767738-4,2491,63952204-2,2025-04-04 13:15:00,2820245,1,1,0,252,119
1025,73177104-4,1902,11981843-5,2025-04-27 09:00:00,2105020,0,0,0,0,0
1026,94023614-4,60,95431346-9,2025-04-11 15:00:00,2800365,0,0,0,0,0
1027,86209409-0,1322,49873347-8,2025-04-07 16:00:00,35000,0,0,0,0,0
1028,94023614-4,3333,27470077-6,2025-04-09 10:45:00,35000,0,0,0,0,0
1029,94023614-4,710,61864673-3,2025-04-13 14:15:00,2820245,1,3,0,253,0
1030,57378727-6,1146,12429516-4,2025-04-17 10:45:00,2132690,0,0,0,0,0
1031,86209409-0,1088,11981843-5,2025-04-02 18:00:00,2132690,0,0,0,0,0
1032,22767738-4,1377,32818392-4,2025-04-28 13:00:00,2800365,0,0,0,0,0
1033,57378727-6,3649,94361312-4,2025-04-03 16:15:00,3081058,0,0,0,0,0
1034,22767738-4,2417,24735893-2,2025-04-07 17:15:00,1600123,1,1,0,254,120
1035,86209409-0,2127,66594934-8,2025-04-26 18:00:00,3010000,0,0,0,0,0
1036,22767738-4,3583,40388373-6,2025-04-06 16:15:00,2506300,0,0,0,0,0
1037,73177104-4,315,24441102-3,2025-04-04 11:45:00,3010000,0,0,0,0,0
1038,86209409-0,3052,75006543-8,2025-04-23 17:00:00,2105020,0,0,0,0,0
1039,86209409-0,873,78943450-5,2025-04-25 08:15:00,2820245,0,0,0,0,0
1040,86209409-0,874,55539940-3,2025-04-13 09:30:00,2132690,0,0,0,0,0
1041,95208514-3,2195,33791677-0,2025-04-23 11:00:00,3120345,1,3,0,255,0
1042,94023614-4,206,70812597-6,2025-04-09 17:00:00,2086651,0,0,0,0,0
1043,95208514-3,3464,34310135-9,2025-05-01 13:00:00,2800365,0,0,0,0,0
1044,73177104-4,3471,97980836-2,2025-04-03 11:30:00,3120345,0,0,0,0,0
1045,22767738-4,1992,16226259-9,2025-04-16 18:15:00,1600123,1,2,0,256,121
1046,94023614-4,1290,63958627-0,2025-04-23 08:30:00,2086651,0,0,0,0,0
1047,86209409-0,3359,22212788-6,2025-04-07 13:00:00,1750012,0,0,0,0,0
1048,22767738-4,465,78093216-6,2025-04-24 09:45:00,3081058,1,3,0,257,0
1049,95208514-3,333,15074844-0,2025-04-20 17:00:00,1600123,0,0,0,0,0
1050,22767738-4,838,30310762-2,2025-05-02 13:45:00,2727431,0,0,0,0,0
1051,94023614-4,1717,78310737-4,2025-04-10 14:15:00,3120345,1,4,0,258,0
1052,22767738-4,2266,14875579-3,2025-04-23 10:30:00,3010000,0,0,0,0,0
1053,22767738-4,761,53699466-8,2025-04-14 12:45:00,2506300,0,0,0,0,0
1054,57378727-6,2386,48411300-7,2025-04-01 14:30:00,3092497,0,0,0,0,0
1055,22767738-4,1786,23124705-7,2025-04-27 16:00:00,3120345,0,0,0,0,0
1056,22767738-4,1141,81164868-4,2025-04-24 14:00:00,50500,0,0,0,0,0
1057,95208514-3,757,78662663-0,2025-04-17 17:15:00,2086651,0,0,0,0,0
1058,95208514-3,3577,40388373-6,2025-04-30 08:00:00,1600123,0,0,0,0,0
1059,57378727-6,3131,63952204-2,2025-04-30 15:00:00,3081058,0,0,0,0,0
1060,94023614-4,1505,68316971-1,2025-04-15 16:15:00,35000,0,0,0,0,0
1061,22767738-4,1307,32043482-6,2025-05-01 10:45:00,3010000,1,1,0,259,122
1062,94023614-4,1513,19557494-0,2025-04-29 08:30:00,3092497,0,0,0,0,0
1063,86209409-0,2914,45846060-8,2025-04-24 11:30:00,3238968,1,2,0,260,123
1064,95208514-3,2380,72795772-4,2025-04-14 08:00:00,3092497,0,0,0,0,0
1065,86209409-0,3242,70026603-3,2025-04-30 15:30:00,2506300,0,0,0,0,0
1066,86209409-0,1802,76332098-2,2025-04-17 08:30:00,2086651,0,0,0,0,0
1067,22767738-4,2788,20272755-6,2025-04-19 16:30:00,2086651,0,0,0,0,0
1068,73177104-4,3493,77724461-4,2025-04-17 13:45:00,2105020,0,0,0,0,0
1069,57378727-6,1991,60334032-8,2025-04-11 18:45:00,3092497,0,0,0,0,0
1070,86209409-0,1623,10615206-0,2025-04-19 10:15:00,1600123,0,0,0,0,0
1071,86209409-0,163,89066256-8,2025-04-16 09:15:00,1750012,1,1,0,261,124
1072,86209409-0,1026,75833080-6,2025-04-13 14:30:00,2820245,0,0,0,0,0
1073,94023614-4,288,12429516-4,2025-04-05 13:30:00,1750012,0,0,0,0,0
1074,86209409-0,329,87722745-4,2025-04-22 18:30:00,2086651,1,2,0,262,125
1075,57378727-6,2978,83733104-2,2025-04-11 15:45:00,2506300,0,0,0,0,0
1076,73177104-4,494,38196101-9,2025-04-27 12:45:00,2086651,0,0,0,0,0
1077,95208514-3,899,90206203-1,2025-04-18 17:30:00,3238968,0,0,0,0,0
1078,86209409-0,2569,70026603-3,2025-04-01 18:00:00,35000,0,0,0,0,0
1079,22767738-4,1263,21870177-9,2025-04-17 16:45:00,3081058,1,2,0,263,126
1080,73177104-4,546,80061523-7,2025-04-13 13:00:00,1600123,0,0,0,0,0
1081,57378727-6,1774,86853828-8,2025-04-12 08:15:00,50500,0,0,0,0,0
1082,86209409-0,754,12120279-7,2025-04-26 16:45:00,1600123,0,0,0,0,0
1083,22767738-4,2200,66264861-2,2025-04-11 10:45:00,35000,0,0,0,0,0
1084,73177104-4,3066,53699466-8,2025-04-10 11:15:00,2105020,0,0,0,0,0
1085,22767738-4,1669,59644030-9,2025-04-15 14:00:00,2506300,1,4,0,264,0
1086,86209409-0,213,73899711-4,2025-04-27 12:30:00,2506300,0,0,0,0,0
1087,73177104-4,320,26699972-2,2025-04-05 18:45:00,3238968,0,0,0,0,0
1088,94023614-4,1789,21398093-5,2025-04-14 15:45:00,1600123,0,0,0,0,0
1089,22767738-4,14,51992140-2,2025-04-04 16:00:00,3120345,0,0,0,0,0
1090,86209409-0,2881,14100953-3,2025-04-11 18:00:00,3081058,0,0,0,0,0
1091,57378727-6,3572,15869307-3,2025-04-07 16:00:00,2820245,1,3,0,265,0
1092,86209409-0,2909,78310737-4,2025-04-07 13:30:00,2086651,0,0,0,0,0
1093,86209409-0,2363,64355233-5,2025-04-20 11:00:00,1800999,0,0,0,0,0
1094,95208514-3,1455,76332098-2,2025-04-20 13:15:00,25300,0,0,0,0,0
1095,94023614-4,1463,67384344-0,2025-04-09 16:15:00,2132690,0,0,0,0,0
1096,94023614-4,1612,38867100-7,2025-04-08 15:15:00,2820245,0,0,0,0,0
1097,73177104-4,1274,17973044-7,2025-04-13 17:30:00,2820245,1,1,0,266,127
1098,57378727-6,2029,61617949-1,2025-04-09 14:45:00,2105020,0,0,0,0,0
1099,86209409-0,775,25422399-6,2025-04-18 17:15:00,1800999,0,0,0,0,0
1100,94023614-4,3389,19557494-0,2025-04-12 10:15:00,2727431,0,0,0,0,0
1101,86209409-0,913,24441102-3,2025-04-02 14:30:00,3238968,0,0,0,0,0
1102,73177104-4,168,81768570-2,2025-04-02 14:30:00,2132690,0,0,0,0,0
1103,73177104-4,3626,80062558-9,2025-04-29 14:15:00,50500,0,0,0,0,0
1104,22767738-4,1436,19557494-0,2025-04-04 11:15:00,1600123,0,0,0,0,0
1105,86209409-0,2755,78310737-4,2025-04-04 09:00:00,2800365,1,3,0,267,0
1106,95208514-3,712,19015534-8,2025-04-27 10:00:00,3238968,1,2,0,268,128
1107,73177104-4,311,53375085-5,2025-04-12 18:45:00,2086651,0,0,0,0,0
1108,94023614-4,2779,65012894-9,2025-04-06 08:30:00,3120345,1,2,0,269,129
1109,73177104-4,180,59604556-2,2025-04-15 14:00:00,3081058,0,0,0,0,0
1110,22767738-4,2178,12429516-4,2025-04-17 09:45:00,3238968,0,0,0,0,0
1111,86209409-0,264,10615206-0,2025-04-07 08:30:00,2086651,1,3,0,270,0
1112,95208514-3,843,65012894-9,2025-04-17 12:15:00,2506300,0,0,0,0,0
1113,95208514-3,2672,23788335-3,2025-04-29 17:30:00,2086651,0,0,0,0,0
1114,86209409-0,2614,14875579-3,2025-04-28 08:30:00,2506300,0,0,0,0,0
1115,95208514-3,895,72222830-6,2025-04-28 13:15:00,3120345,0,0,0,0,0
1116,94023614-4,1402,53337367-3,2025-04-06 10:45:00,2086651,0,0,0,0,0
1117,57378727-6,1468,87751822-9,2025-04-27 11:30:00,1600123,1,2,0,271,130
1118,22767738-4,88,67384344-0,2025-04-30 10:00:00,3092497,0,0,0,0,0
1119,57378727-6,1079,64355233-5,2025-04-26 16:00:00,2506300,0,0,0,0,0
1120,95208514-3,1686,84295710-6,2025-04-23 17:45:00,2506300,0,0,0,0,0
1121,57378727-6,2897,47192537-4,2025-04-23 14:15:00,3238968,0,0,0,0,0
1122,73177104-4,1574,55322795-0,2025-04-15 18:15:00,1800999,0,0,0,0,0
1123,73177104-4,1847,27423273-6,2025-04-27 18:15:00,1800999,0,0,0,0,0
1124,95208514-3,439,66594934-8,2025-04-04 16:00:00,2105020,0,0,0,0,0
1125,57378727-6,162,80061523-7,2025-04-12 10:00:00,50500,1,3,0,272,0
1126,95208514-3,1910,83733104-2,2025-04-16 10:15:00,2132690,0,0,0,0,0
1127,86209409-0,3667,34310135-9,2025-04-26 16:00:00,3081058,0,0,0,0,0
